Video.cut;abs_nflo;nflo_chang;nouts;nins;mean_durins;tot_durins;mean_durouts;tot_durouts;tot_durfor;mov_totdist;mov_spead;mov_feroc;treat;Configuration;Color.code;ID..;stan_nflo;stan_nflochang;stan_nouts;stan_nins;stand_totdist
vlc-record-2015-06-16-18h33m22s-Pers.Ctrl.SUR.2015.6.15.9.30.MOV-.csv;1;0;0;1;6.699;6.699;0;0;6.699;3.700606129;0.002734711;3.710586634;Ctr;Ctrl2;G;292;0.149276011;0;0;0.149276011;3.700606129
vlc-record-2015-06-16-18h44m24s-Pers.Exp.SUR.2015.6.15.9.57.MOV-.csv;1;0;1;2;3.861;7.722;1.386;1.386;9.108;32.09011827;0.012811961;2.332261703;Exp;Exp2;Y;301;0.109793588;0;0.109793588;0.219587176;16.04505914
vlc-record-2015-06-16-18h47m58s-Pers.Exp.SUR.2015.6.15.9.57.MOV-.csv;1;0;2;3;1.936;5.808;2.0955;4.191;9.999;52.22375376;0.017294363;3.017157029;Exp;Exp2;R;356;0.100010001;0;0.200020002;0.300030003;17.40791792
vlc-record-2015-06-16-18h50m16s-Pers.Exp.SUR.2015.6.15.9.57.MOV-.csv;1;0;1;2;2.3925;4.785;0.495;0.495;5.28;37.10861057;0.044202176;2.844537792;Exp;Exp2;G;292;0.189393939;0;0.189393939;0.378787879;18.55430528
vlc-record-2015-06-16-18h53m26s-Pers.Exp.SUR.2015.6.15.9.57.MOV-.csv;1;0;1;2;4.983;9.966;3.003;3.003;12.969;42.71004647;0.008401126;2.731509648;Exp;Exp2;P;353;0.077106947;0;0.077106947;0.154213895;21.35502324
vlc-record-2015-06-16-18h58m50s-Pers.Exp.SUR.2015.6.15.9.57.MOV-.csv;2;1;5;6;2.3045;13.827;1.3662;6.831;20.658;115.362148;0.00893501;2.045923783;Exp;Exp2;WGR;364;0.096814793;0.048407397;0.242036983;0.29044438;9.613512334
vlc-record-2015-06-16-19h03m33s-Pers.Exp.SUR.2015.6.15.9.57.MOV-.csv;1;0;3;4;1.188;4.752;1.551;4.653;9.405;85.55941041;0.032032486;1.521808453;Exp;Exp2;R;356;0.106326422;0;0.318979266;0.425305688;21.3898526
vlc-record-2015-06-16-19h05m30s-Pers.Exp.SUR.2015.6.15.9.57.MOV-.csv;2;1;2;3;2.222;6.666;1.452;2.904;9.57;94.6568846;0.034224919;2.002176633;Exp;Exp2;Y;301;0.208986416;0.104493208;0.208986416;0.313479624;15.77614743
vlc-record-2015-06-16-19h17m17s-Pers.Exp.SUR.2015.6.15.10.00.MOV-.csv;2;2;4;5;2.475;12.375;2.4915;9.966;22.341;108.7409557;0.007200188;2.203540117;Exp;Exp2;GPW;241;0.089521508;0.089521508;0.179043015;0.223803769;7.249397046
vlc-record-2015-06-16-19h21m09s-Pers.Exp.SUR.2015.6.15.10.00.MOV-.csv;2;1;2;3;2.662;7.986;1.617;3.234;11.22;56.66719041;0.014898383;2.851418555;Exp;Exp2;G;292;0.178253119;0.08912656;0.178253119;0.267379679;9.444531735
vlc-record-2015-06-16-19h34m28s-Pers.Exp.SUR.2015.6.15.10.00.MOV-.csv;1;0;5;6;1.232;7.392;1.584;7.92;15.312;111.8976026;0.015783666;1.964252301;Exp;Exp2;R;356;0.065308255;0;0.326541275;0.39184953;18.64960044
vlc-record-2015-06-16-19h36m24s-Pers.Exp.SUR.2015.6.15.10.00.MOV-.csv;1;0;2;3;1.287;3.861;1.122;2.244;6.105;70.86921879;0.063089074;1.911312823;Exp;Exp2;WGR;364;0.163800164;0;0.327600328;0.491400491;23.62307293
vlc-record-2015-06-16-19h39m21s-Pers.Exp.SUR.2015.6.15.10.00.MOV-.csv;1;0;1;2;1.9305;3.861;1.617;1.617;5.478;22.6423587;0.025050459;1.889203929;Exp;Exp2;P;353;0.182548375;0;0.182548375;0.365096751;11.32117935
vlc-record-2015-06-16-19h41m02s-Pers.Exp.SUR.2015.6.15.10.00.MOV-.csv;1;0;1;2;5.049;10.098;0.825;0.825;10.923;24.0667867;0.006676706;1.800320552;Exp;Exp2;P;353;0.09154994;0;0.09154994;0.183099881;12.03339335
vlc-record-2015-06-16-19h42m59s-Pers.Exp.SUR.2015.6.15.10.00.MOV-.csv;1;0;3;4;1.95525;7.821;1.265;3.795;11.616;66.07023239;0.016204742;1.562662822;Exp;Exp2;WGR;364;0.086088154;0;0.258264463;0.344352617;16.5175581
vlc-record-2015-06-16-19h48m37s-Pers.Exp.SUR.2015.6.15.10.00.MOV-.csv;2;1;1;2;3.036;6.072;4.323;4.323;10.395;75.14297191;0.023021532;3.967040212;Exp;Exp2;G;292;0.192400192;0.096200096;0.096200096;0.192400192;18.78574298
vlc-record-2015-06-16-19h50m56s-Pers.Exp.SUR.2015.6.15.10.00.MOV-.csv;1;0;1;2;3.036;6.072;2.178;2.178;8.25;34.54691755;0.01681729;2.347228135;Exp;Exp2;R;356;0.121212121;0;0.121212121;0.242424242;17.27345877
vlc-record-2015-06-16-19h53m14s-Pers.Exp.SUR.2015.6.15.10.00.MOV-.csv;2;2;3;4;0.81675;3.267;1.76;5.28;8.547;225.6472015;0.102328484;1.695189161;Exp;Exp2;Y;301;0.234000234;0.234000234;0.351000351;0.468000468;18.80393346
vlc-record-2015-06-16-19h56m11s-Pers.Exp.SUR.2015.6.15.10.00.MOV-.csv;1;0;4;5;2.1252;10.626;1.881;7.524;18.15;83.60222994;0.008390134;1.827778815;Exp;Exp2;RPR;367;0.055096419;0;0.220385675;0.275482094;16.72044599
vlc-record-2015-06-23-23h12m18s-Pers.Ctrl.SUR.2015.6.22.10.7.MOV-.csv;1;0;6;7;2.168571429;15.18;0.6765;4.059;19.239;81.16118993;0.007248413;3.580823489;Ctr;Ctrl3;Y;301;0.051977754;0;0.311866521;0.363844275;11.5944557
vlc-record-2015-06-23-23h13m49s-Pers.Ctrl.SUR.2015.6.22.10.7.MOV-.csv;1;0;1;2;1.9305;3.861;1.089;1.089;4.95;20.98394383;0.028450876;3.691648445;Ctr;Ctrl3;Y;301;0.202020202;0;0.202020202;0.404040404;10.49197192
vlc-record-2015-06-23-23h17m28s-Pers.Ctrl.SUR.2015.6.22.10.7.MOV-.csv;1;0;6;7;1.315285714;9.207;0.8305;4.983;14.19;95.96979804;0.015765033;2.643375496;Ctr;Ctrl3;Y;301;0.070472163;0;0.422832981;0.493305144;13.70997115
vlc-record-2015-06-23-23h19m43s-Pers.Ctrl.SUR.2015.6.22.10.7.MOV-.csv;1;0;14;15;1.1;16.5;2.562214286;35.871;52.371;507.389256;0.006108678;2.090989763;Ctr;Ctrl3;GPW;241;0.019094537;0;0.267323519;0.286418056;33.8259504
vlc-record-2015-06-28-16h14m16s-Pers.Ctrl.SUR.2015.6.28.12.21.MOV-.csv;1;0;3;4;0.81675;3.267;1.089;3.267;6.534;123.8973099;0.096253498;2.136697811;Ctr;Ctrl4;R;356;0.153045608;0;0.459136823;0.61218243;30.97432747
vlc-record-2015-06-28-16h19m35s-Pers.Ctrl.SUR.2015.6.28.12.21.MOV-.csv;2;1;11;12;1.8205;21.846;0.741;8.151;29.997;400.7117217;0.014711887;5.067107056;Ctr;Ctrl4;UNTAG*;-40;0.066673334;0.033336667;0.366703337;0.400040004;16.69632174
