"RecID","Conf","Colcode","NoID","Comm","Latency","ConfSimpl"
"vlc-record-2016-07-02-09h38m02s-Pers.Exp.SUR.2015.6.15.9.57.MOV-.avi","Exp2","G",292,"",1.625,"Exp"
"vlc-record-2016-07-02-09h38m43s-Pers.Exp.SUR.2015.6.15.9.57.MOV-.avi","Exp2","P",353,"",2.325,"Exp"
"vlc-record-2016-07-02-09h40m12s-Pers.Exp.SUR.2015.6.15.9.57.MOV-.avi","Exp2","WGR",364,"",8.725,"Exp"
"vlc-record-2016-07-02-09h41m30s-Pers.Exp.SUR.2015.6.15.9.57.MOV-.avi","Exp2","R",356,"",3.584,"Exp"
"vlc-record-2016-07-02-09h42m20s-Pers.Exp.SUR.2015.6.15.9.57.MOV-.avi","Exp2","Y",301,"",1.825,"Exp"
"vlc-record-2016-07-02-09h43m37s-Pers.Exp.SUR.2015.6.15.10.00.MOV-.avi","Exp2","GPW",241,"",6.425,"Exp"
"vlc-record-2016-07-02-09h44m46s-Pers.Exp.SUR.2015.6.15.10.00.MOV-.avi","Exp2","G",292,"",0.95,"Exp"
"vlc-record-2016-07-02-09h45m34s-Pers.Exp.SUR.2015.6.15.10.00.MOV-.avi","Exp2","R",356,"",1.969,"Exp"
"vlc-record-2016-07-02-09h46m28s-Pers.Exp.SUR.2015.6.15.10.00.MOV-.avi","Exp2","WGR",364,"",2.9,"Exp"
"vlc-record-2016-07-02-09h47m24s-Pers.Exp.SUR.2015.6.15.10.00.MOV-.avi","Exp2","P",353,"",4.6,"Exp"
"vlc-record-2016-07-02-09h48m10s-Pers.Exp.SUR.2015.6.15.10.00.MOV-.avi","Exp2","P",353,"",2.4,"Exp"
"vlc-record-2016-07-02-10h05m12s-Pers.Exp.SUR.2015.6.15.10.00.MOV-.avi","Exp2","WGR",364,"",5.725,"Exp"
"vlc-record-2016-07-02-10h06m43s-Pers.Exp.SUR.2015.6.15.10.00.MOV-.avi","Exp2","G",292,"",0.526,"Exp"
"vlc-record-2016-07-02-10h07m49s-Pers.Exp.SUR.2015.6.15.10.00.MOV-.avi","Exp2","R",356,"",2.8,"Exp"
"vlc-record-2016-07-02-10h08m47s-Pers.Exp.SUR.2015.6.15.10.00.MOV-.avi","Exp2","Y",301,"",2.6,"Exp"
"vlc-record-2016-07-02-10h09m35s-Pers.Exp.SUR.2015.6.15.10.00.MOV-.avi","Exp2","RPR",367,"",3.625,"Exp"
"vlc-record-2016-07-02-10h13m36s-Pers.Ctrl.SUR.2015.6.22.10.7.MOV-.avi","Ctrl3","Y",301,"a continued on the next event #95?",0.65,"Ctr"
"vlc-record-2016-07-02-10h14m14s-Pers.Ctrl.SUR.2015.6.22.10.7.MOV-.avi","Ctrl3","Y",301,"a continuum of the previous event #94?",3.675,"Ctr"
"vlc-record-2016-07-02-10h14m29s-Pers.Ctrl.SUR.2015.6.22.10.7.MOV-.avi","Ctrl3","Y",301,"a continuum of the previous event #95?",3.225,"Ctr"
"vlc-record-2016-07-02-10h16m20s-Pers.Ctrl.SUR.2015.6.22.10.7.MOV-.avi","Ctrl3","GPW",241,"",3.625,"Ctr"
"vlc-record-2016-07-02-10h19m20s-Pers.Ctrl.SUR.2015.6.28.12.21.MOV-.avi","Ctrl4","R",356,"",7.85,"Ctr"
"vlc-record-2016-07-02-10h20m21s-Pers.Ctrl.SUR.2015.6.28.12.21.MOV-.avi","Ctrl4","UNTAG*",-40,"a LH around but does not seem to affect the focal bird behaviour",0.475,"Ctr"
"vlc-record-2016-07-02-10h21m25s-Pers.Ctrl.SUR.2015.6.28.12.21.MOV-.avi","Ctrl4","BGW",143,"",4.725,"Ctr"
"vlc-record-2016-07-02-10h23m21s-Pers.Ctrl.SUR.2015.6.28.12.21.MOV-.avi","Ctrl4","RPG",203,"",1.15,"Ctr"
"vlc-record-2016-07-02-10h24m30s-Pers.Ctrl.SUR.2015.6.28.12.21.MOV-.avi","Ctrl4","R",356,"chased",3.85,"Ctr"
"vlc-record-2016-07-02-10h25m06s-Pers.Ctrl.SUR.2015.6.28.12.21.MOV-.avi","Ctrl4","G",292,"",3.375,"Ctr"
"vlc-record-2016-07-02-10h26m23s-Pers.Ctrl.SUR.2015.6.28.12.21.MOV-.avi","Ctrl4","R",356,"chased?",5.625,"Ctr"
"vlc-record-2016-07-02-10h27m08s-Pers.Ctrl.SUR.2015.6.28.12.21.MOV-.avi","Ctrl4","Y",301,"",0.625,"Ctr"
"vlc-record-2016-07-02-10h28m13s-Pers.Ctrl.SUR.2015.6.28.12.21.MOV-.avi","Ctrl4","B",357,"",1.025,"Ctr"
"vlc-record-2016-07-02-10h29m47s-Pers.Ctrl.SUR.2015.6.28.12.21.MOV-.avi","Ctrl4","R",356,"",3.775,"Ctr"
"vlc-record-2016-07-03-09h15m48s-Pers.Ctrl.SUR.2015.6.28.12.47.MOV-.avi","Ctrl4","G",292,"",2.35,"Ctr"
