Entry;Idrec_sub;Id_cowlog;Speed;Project;Configuration;Color code;ID #;Comments;Video file name
21;vlc-record-2016-07-01-14h12m48s-Pers.Ctrl.SUR.2015.6.13.8.1.MOV-.avi;entry021_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl1;G;292;;Pers.Ctrl.SUR.2015.6.13.8.1
22;vlc-record-2016-07-01-14h19m15s-Pers.Ctrl.SUR.2015.6.13.8.32.MOV-.avi;entry022_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl1;RPR;367;bee, could inf n flower, and motions;Pers.Ctrl.SUR.2015.6.13.8.32
23;vlc-record-2016-07-01-14h20m29s-Pers.Ctrl.SUR.2015.6.13.8.32.MOV-.avi;entry023_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl1;P;353;;Pers.Ctrl.SUR.2015.6.13.8.32
24;vlc-record-2016-07-01-14h21m20s-Pers.Ctrl.SUR.2015.6.13.8.32.MOV-.avi;entry024_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl1;G;292;;Pers.Ctrl.SUR.2015.6.13.8.32
25;vlc-record-2016-07-01-14h22m09s-Pers.Ctrl.SUR.2015.6.13.8.32.MOV-.avi;entry025_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl1;WGR;364;;Pers.Ctrl.SUR.2015.6.13.8.32
26;vlc-record-2016-07-01-14h22m52s-Pers.Ctrl.SUR.2015.6.13.8.32.MOV-.avi;entry026_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl1;Y;301;;Pers.Ctrl.SUR.2015.6.13.8.32
27;vlc-record-2016-07-01-14h23m48s-Pers.Ctrl.SUR.2015.6.13.8.32.MOV-.avi;entry027_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl1;WGR;364;;Pers.Ctrl.SUR.2015.6.13.8.32
28;vlc-record-2016-07-01-14h24m41s-Pers.Ctrl.SUR.2015.6.13.8.32.MOV-.avi;entry028_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl1;G;292;;Pers.Ctrl.SUR.2015.6.13.8.32
29;vlc-record-2016-07-01-14h25m57s-Pers.Ctrl.SUR.2015.6.13.8.58.MOV-.avi;entry029_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl1;WGR;364;;Pers.Ctrl.SUR.2015.6.13.8.58
30;vlc-record-2016-07-01-14h27m20s-Pers.Ctrl.SUR.2015.6.13.8.58.MOV-.avi;entry030_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl1;Y;301;;Pers.Ctrl.SUR.2015.6.13.8.58
31;vlc-record-2016-07-01-14h28m08s-Pers.Ctrl.SUR.2015.6.13.8.58.MOV-.avi;entry031_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl1;G;292;;Pers.Ctrl.SUR.2015.6.13.8.58
32;vlc-record-2016-07-01-14h28m48s-Pers.Ctrl.SUR.2015.6.13.8.58.MOV-.avi;entry032_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl1;R;356;;Pers.Ctrl.SUR.2015.6.13.8.58
33;vlc-record-2016-07-01-14h31m01s-Pers.Ctrl.SUR.2015.6.13.8.58.MOV-.avi;entry033_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl1;G;292;chased, could affect duration of the visits but not the latency;Pers.Ctrl.SUR.2015.6.13.8.58
34;vlc-record-2016-07-01-14h32m00s-Pers.Ctrl.SUR.2015.6.13.8.58.MOV-.avi;entry034_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl1;P;353;;Pers.Ctrl.SUR.2015.6.13.8.58
35;vlc-record-2016-07-01-14h33m07s-Pers.Ctrl.SUR.2015.6.13.8.58.MOV-.avi;entry035_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl1;WGR;364;chased;Pers.Ctrl.SUR.2015.6.13.8.58
36;vlc-record-2016-07-01-14h33m47s-Pers.Ctrl.SUR.2015.6.13.8.58.MOV-.avi;entry036_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl1;G;292;chased?;Pers.Ctrl.SUR.2015.6.13.8.58
37;vlc-record-2016-07-01-14h34m32s-Pers.Ctrl.SUR.2015.6.13.8.58.MOV-.avi;entry037_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl1;G;292;a continuum of the previous event #36;Pers.Ctrl.SUR.2015.6.13.8.58
38;vlc-record-2016-07-01-14h35m44s-Pers.Ctrl.SUR.2015.6.13.8.58.MOV-.avi;entry038_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl1;RPR;367;;Pers.Ctrl.SUR.2015.6.13.8.58
39;vlc-record-2016-07-01-14h36m54s-Pers.Ctrl.SUR.2015.6.13.8.58.MOV-.avi;entry039_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl1;Y;301;;Pers.Ctrl.SUR.2015.6.13.8.58
40;vlc-record-2016-07-01-14h38m14s-Pers.Ctrl.SUR.2015.6.13.9.33.MOV-.avi;entry040_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl1;G;292;;Pers.Ctrl.SUR.2015.6.13.9.33
41;vlc-record-2016-07-01-14h39m10s-Pers.Ctrl.SUR.2015.6.13.9.33.MOV-.avi;entry041_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl1;WGR;364;;Pers.Ctrl.SUR.2015.6.13.9.33
42;vlc-record-2016-07-01-14h39m57s-Pers.Ctrl.SUR.2015.6.13.9.33.MOV-.avi;entry042_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl1;R;356;;Pers.Ctrl.SUR.2015.6.13.9.33
43;vlc-record-2016-07-01-14h40m48s-Pers.Ctrl.SUR.2015.6.13.9.33.MOV-.avi;entry043_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl1;Y;301;;Pers.Ctrl.SUR.2015.6.13.9.33
44;vlc-record-2016-07-01-14h42m15s-Pers.Ctrl.SUR.2015.6.13.9.33.MOV-.avi;entry044_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl1;RPR;367;chased;Pers.Ctrl.SUR.2015.6.13.9.33
45;vlc-record-2016-07-01-14h44m25s-Pers.Ctrl.SUR.2015.6.13.9.33.MOV-.avi;entry045_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl1;P;353;;Pers.Ctrl.SUR.2015.6.13.9.33
46;vlc-record-2016-07-01-14h45m18s-Pers.Ctrl.SUR.2015.6.13.9.33.MOV-.avi;entry046_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl1;G;292;;Pers.Ctrl.SUR.2015.6.13.9.33
47;vlc-record-2016-07-01-14h46m11s-Pers.Ctrl.SUR.2015.6.13.9.33.MOV-.avi;entry047_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl1;RPR;367;;Pers.Ctrl.SUR.2015.6.13.9.33
48;vlc-record-2016-07-01-14h48m46s-Pers.Ctrl.SUR.2015.6.15.9.30.MOV-.avi;entry048_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl2;P;353;;Pers.Ctrl.SUR.2015.6.15.9.30
49;vlc-record-2016-07-01-14h49m42s-Pers.Ctrl.SUR.2015.6.15.9.30.MOV-.avi;entry049_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl2;RPR;367;little hermit at another feeder, but does not seem to interfere;Pers.Ctrl.SUR.2015.6.15.9.30
50;vlc-record-2016-07-01-14h50m40s-Pers.Ctrl.SUR.2015.6.15.9.30.MOV-.avi;entry050_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl2;WGR;364;;Pers.Ctrl.SUR.2015.6.15.9.30
51;vlc-record-2016-07-01-14h51m30s-Pers.Ctrl.SUR.2015.6.15.9.30.MOV-.avi;entry051_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl2;G;292;;Pers.Ctrl.SUR.2015.6.15.9.30
52;vlc-record-2016-07-01-14h52m13s-Pers.Ctrl.SUR.2015.6.15.9.30.MOV-.avi;entry052_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl2;WGR;364;;Pers.Ctrl.SUR.2015.6.15.9.30
53;vlc-record-2016-07-01-14h53m05s-Pers.Ctrl.SUR.2015.6.15.9.30.MOV-.avi;entry053_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl2;P;353;;Pers.Ctrl.SUR.2015.6.15.9.30
54;vlc-record-2016-07-01-14h53m42s-Pers.Ctrl.SUR.2015.6.15.9.30.MOV-.avi;entry054_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl2;RPR;367;;Pers.Ctrl.SUR.2015.6.15.9.30
55;vlc-record-2016-07-02-09h22m02s-Pers.Ctrl.SUR.2015.6.15.9.30.MOV-.avi;entry055_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl2;G;292;;Pers.Ctrl.SUR.2015.6.15.9.30
56;vlc-record-2016-07-02-09h24m30s-Pers.Exp.SUR.2015.6.13.10.6.MOV-.avi;entry056_2000-01-01T000000_000;0.1;Latency_cowlog_project;Exp1;WGR;364;chased at the end;Pers.Exp.SUR.2015.6.13.10.6
57;vlc-record-2016-07-02-09h25m40s-Pers.Exp.SUR.2015.6.13.10.6.MOV-.avi;entry057_2000-01-01T000000_000;0.1;Latency_cowlog_project;Exp1;G;292;chased during the visit;Pers.Exp.SUR.2015.6.13.10.6
58;vlc-record-2016-07-02-09h26m26s-Pers.Exp.SUR.2015.6.13.10.6.MOV-.avi;entry058_2000-01-01T000000_000;0.1;Latency_cowlog_project;Exp1;WGR;364;;Pers.Exp.SUR.2015.6.13.10.6
59;vlc-record-2016-07-02-09h28m00s-Pers.Exp.SUR.2015.6.13.10.6.MOV-.avi;entry059_2000-01-01T000000_000;0.1;Latency_cowlog_project;Exp1;WGR;364;;Pers.Exp.SUR.2015.6.13.10.6
60;vlc-record-2016-07-02-09h29m12s-Pers.Exp.SUR.2015.6.13.10.6.MOV-.avi;entry060_2000-01-01T000000_000;0.1;Latency_cowlog_project;Exp1;Y;301;;Pers.Exp.SUR.2015.6.13.10.6
61;vlc-record-2016-07-02-09h30m19s-Pers.Exp.SUR.2015.6.13.10.6.MOV-.avi;entry061_2000-01-01T000000_000;0.1;Latency_cowlog_project;Exp1;R;356;;Pers.Exp.SUR.2015.6.13.10.6
62;vlc-record-2016-07-02-09h31m16s-Pers.Exp.SUR.2015.6.13.10.6.MOV-.avi;entry062_2000-01-01T000000_000;0.1;Latency_cowlog_project;Exp1;P;353;;Pers.Exp.SUR.2015.6.13.10.6
63;vlc-record-2016-07-02-09h32m15s-Pers.Exp.SUR.2015.6.13.10.6.MOV-.avi;entry063_2000-01-01T000000_000;0.1;Latency_cowlog_project;Exp1;RPR;367;;Pers.Exp.SUR.2015.6.13.10.6
64;vlc-record-2016-07-02-09h33m41s-Pers.Exp.SUR.2015.6.13.10.6.MOV-.avi;entry064_2000-01-01T000000_000;0.1;Latency_cowlog_project;Exp1;R;356;;Pers.Exp.SUR.2015.6.13.10.6
65;vlc-record-2016-07-02-09h36m23s-Pers.Exp.SUR.2015.6.15.9.57.MOV-.avi;entry065_2000-01-01T000000_000;0.1;Latency_cowlog_project;Exp2;Y;301;;Pers.Exp.SUR.2015.6.15.9.57
66;vlc-record-2016-07-02-09h37m12s-Pers.Exp.SUR.2015.6.15.9.57.MOV-.avi;entry066_2000-01-01T000000_000;0.1;Latency_cowlog_project;Exp2;R;356;;Pers.Exp.SUR.2015.6.15.9.57
67;vlc-record-2016-07-02-09h38m02s-Pers.Exp.SUR.2015.6.15.9.57.MOV-.avi;entry067_2000-01-01T000000_000;0.1;Latency_cowlog_project;Exp2;G;292;;Pers.Exp.SUR.2015.6.15.9.57
68;vlc-record-2016-07-02-09h38m43s-Pers.Exp.SUR.2015.6.15.9.57.MOV-.avi;entry068_2000-01-01T000000_000;0.1;Latency_cowlog_project;Exp2;P;353;;Pers.Exp.SUR.2015.6.15.9.57
69;vlc-record-2016-07-02-09h40m12s-Pers.Exp.SUR.2015.6.15.9.57.MOV-.avi;entry069_2000-01-01T000000_000;0.1;Latency_cowlog_project;Exp2;WGR;364;;Pers.Exp.SUR.2015.6.15.9.57
70;vlc-record-2016-07-02-09h41m30s-Pers.Exp.SUR.2015.6.15.9.57.MOV-.avi;entry070_2000-01-01T000000_000;0.1;Latency_cowlog_project;Exp2;R;356;;Pers.Exp.SUR.2015.6.15.9.57
71;vlc-record-2016-07-02-09h42m20s-Pers.Exp.SUR.2015.6.15.9.57.MOV-.avi;entry071_2000-01-01T000000_000;0.1;Latency_cowlog_project;Exp2;Y;301;;Pers.Exp.SUR.2015.6.15.9.57
72;vlc-record-2016-07-02-09h43m37s-Pers.Exp.SUR.2015.6.15.10.00.MOV-.avi;entry072_2000-01-01T000000_000;0.1;Latency_cowlog_project;Exp2;GPW;241;;Pers.Exp.SUR.2015.6.15.10.00
73;vlc-record-2016-07-02-09h44m46s-Pers.Exp.SUR.2015.6.15.10.00.MOV-.avi;entry073_2000-01-01T000000_000;0.1;Latency_cowlog_project;Exp2;G;292;;Pers.Exp.SUR.2015.6.15.10.00
74;vlc-record-2016-07-02-09h45m34s-Pers.Exp.SUR.2015.6.15.10.00.MOV-.avi;entry074_2000-01-01T000000_000;0.1;Latency_cowlog_project;Exp2;R;356;;Pers.Exp.SUR.2015.6.15.10.00
75;vlc-record-2016-07-02-09h46m28s-Pers.Exp.SUR.2015.6.15.10.00.MOV-.avi;entry075_2000-01-01T000000_000;0.1;Latency_cowlog_project;Exp2;WGR;364;;Pers.Exp.SUR.2015.6.15.10.00
76;vlc-record-2016-07-02-09h47m24s-Pers.Exp.SUR.2015.6.15.10.00.MOV-.avi;entry076_2000-01-01T000000_000;0.1;Latency_cowlog_project;Exp2;P;353;;Pers.Exp.SUR.2015.6.15.10.00
77;vlc-record-2016-07-02-09h48m10s-Pers.Exp.SUR.2015.6.15.10.00.MOV-.avi;entry077_2000-01-01T000000_000;0.1;Latency_cowlog_project;Exp2;P;353;;Pers.Exp.SUR.2015.6.15.10.00
78;vlc-record-2016-07-02-10h05m12s-Pers.Exp.SUR.2015.6.15.10.00.MOV-.avi;entry078_2000-01-01T000000_000;0.1;Latency_cowlog_project;Exp2;WGR;364;;Pers.Exp.SUR.2015.6.15.10.00
79;vlc-record-2016-07-02-10h06m43s-Pers.Exp.SUR.2015.6.15.10.00.MOV-.avi;entry079_2000-01-01T000000_000;0.1;Latency_cowlog_project;Exp2;G;292;;Pers.Exp.SUR.2015.6.15.10.00
80;vlc-record-2016-07-02-10h07m49s-Pers.Exp.SUR.2015.6.15.10.00.MOV-.avi;entry080_2000-01-01T000000_000;0.1;Latency_cowlog_project;Exp2;R;356;;Pers.Exp.SUR.2015.6.15.10.00
81;vlc-record-2016-07-02-10h08m47s-Pers.Exp.SUR.2015.6.15.10.00.MOV-.avi;entry081_2000-01-01T000000_000;0.1;Latency_cowlog_project;Exp2;Y;301;;Pers.Exp.SUR.2015.6.15.10.00
82;vlc-record-2016-07-02-10h09m35s-Pers.Exp.SUR.2015.6.15.10.00.MOV-.avi;entry082_2000-01-01T000000_000;0.1;Latency_cowlog_project;Exp2;RPR;367;;Pers.Exp.SUR.2015.6.15.10.00
83;vlc-record-2016-07-02-10h13m36s-Pers.Ctrl.SUR.2015.6.22.10.7.MOV-.avi;entry083_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl3;Y;301;a continued on the next event #95?;Pers.Ctrl.SUR.2015.6.22.10.7
84;vlc-record-2016-07-02-10h14m14s-Pers.Ctrl.SUR.2015.6.22.10.7.MOV-.avi;entry084_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl3;Y;301;a continuum of the previous event #94?;Pers.Ctrl.SUR.2015.6.22.10.7
85;vlc-record-2016-07-02-10h14m29s-Pers.Ctrl.SUR.2015.6.22.10.7.MOV-.avi;entry085_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl3;Y;301;a continuum of the previous event #95?;Pers.Ctrl.SUR.2015.6.22.10.7
86;vlc-record-2016-07-02-10h16m20s-Pers.Ctrl.SUR.2015.6.22.10.7.MOV-.avi;entry086_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl3;GPW;241;;Pers.Ctrl.SUR.2015.6.22.10.7
87;vlc-record-2016-07-02-10h19m20s-Pers.Ctrl.SUR.2015.6.28.12.21.MOV-.avi;entry087_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl4;R;356;;Pers.Ctrl.SUR.2015.6.28.12.21
88;vlc-record-2016-07-02-10h20m21s-Pers.Ctrl.SUR.2015.6.28.12.21.MOV-.avi;entry088_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl4;UNTAG*;-40;a LH around but does not seem to affect the focal bird behaviour;Pers.Ctrl.SUR.2015.6.28.12.21
89;vlc-record-2016-07-02-10h21m25s-Pers.Ctrl.SUR.2015.6.28.12.21.MOV-.avi;entry089_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl4;BGW;143;;Pers.Ctrl.SUR.2015.6.28.12.21
90;vlc-record-2016-07-02-10h23m21s-Pers.Ctrl.SUR.2015.6.28.12.21.MOV-.avi;entry090_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl4;RPG;203;;Pers.Ctrl.SUR.2015.6.28.12.21
91;vlc-record-2016-07-02-10h24m30s-Pers.Ctrl.SUR.2015.6.28.12.21.MOV-.avi;entry091_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl4;R;356;chased;Pers.Ctrl.SUR.2015.6.28.12.21
92;vlc-record-2016-07-02-10h25m06s-Pers.Ctrl.SUR.2015.6.28.12.21.MOV-.avi;entry092_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl4;G;292;;Pers.Ctrl.SUR.2015.6.28.12.21
93;vlc-record-2016-07-02-10h26m23s-Pers.Ctrl.SUR.2015.6.28.12.21.MOV-.avi;entry093_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl4;R;356;chased?;Pers.Ctrl.SUR.2015.6.28.12.21
94;vlc-record-2016-07-02-10h27m08s-Pers.Ctrl.SUR.2015.6.28.12.21.MOV-.avi;entry094_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl4;Y;301;;Pers.Ctrl.SUR.2015.6.28.12.21
95;vlc-record-2016-07-02-10h28m13s-Pers.Ctrl.SUR.2015.6.28.12.21.MOV-.avi;entry095_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl4;B;357;;Pers.Ctrl.SUR.2015.6.28.12.21
96;vlc-record-2016-07-02-10h29m47s-Pers.Ctrl.SUR.2015.6.28.12.21.MOV-.avi;entry096_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl4;R;356;;Pers.Ctrl.SUR.2015.6.28.12.21
97;vlc-record-2016-07-03-09h15m48s-Pers.Ctrl.SUR.2015.6.28.12.47.MOV-.avi;entry097_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl4;G;292;;Pers.Ctrl.SUR.2015.6.28.12.47
98;vlc-record-2016-07-03-09h16m45s-Pers.Ctrl.SUR.2015.6.28.12.47.MOV-.avi;entry098_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl4;BGW;143;;Pers.Ctrl.SUR.2015.6.28.12.47
99;vlc-record-2016-07-03-09h20m27s-Pers.Ctrl.SUR.2015.6.28.12.47.MOV-.avi;entry099_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl4;G;292;;Pers.Ctrl.SUR.2015.6.28.12.47
100;vlc-record-2016-07-03-09h21m16s-Pers.Ctrl.SUR.2015.6.28.12.47.MOV-.avi;entry100_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl4;UNTAG*;-40;chased;Pers.Ctrl.SUR.2015.6.28.12.47
101;vlc-record-2016-07-03-09h22m10s-Pers.Ctrl.SUR.2015.6.28.12.47.MOV-.avi;entry101_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl4;UNTAG*;-40;;Pers.Ctrl.SUR.2015.6.28.12.47
102;vlc-record-2016-07-03-09h23m09s-Pers.Ctrl.SUR.2015.6.28.12.47.MOV-.avi;entry102_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl4;Y;301;;Pers.Ctrl.SUR.2015.6.28.12.47
103;vlc-record-2016-07-03-09h26m32s-Pers.Ctrl.SUR.2015.6.28.13.14.MOV-.avi;entry103_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl4;G;292;;Pers.Ctrl.SUR.2015.6.28.13.14
104;vlc-record-2016-07-03-09h27m28s-Pers.Ctrl.SUR.2015.6.28.13.14.MOV-.avi;entry104_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl4;R;356;;Pers.Ctrl.SUR.2015.6.28.13.14
105;vlc-record-2016-07-03-09h33m17s-Pers.Ctrl.SUR.2015.6.28.13.14.MOV-.avi;entry105_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl4;RPG;203;little hermit at another feeder, but does not seem to interfere;Pers.Ctrl.SUR.2015.6.28.13.14
106;vlc-record-2016-07-03-09h34m47s-Pers.Ctrl.SUR.2015.6.28.13.14.MOV-.avi;entry106_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl4;BGW;143;little hermit at another feeder, but does not seem to interfere;Pers.Ctrl.SUR.2015.6.28.13.14
107;vlc-record-2016-07-03-09h37m03s-Pers.Ctrl.SUR.2015.6.28.13.14.MOV-.avi;entry107_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl4;G;292;;Pers.Ctrl.SUR.2015.6.28.13.14
108;vlc-record-2016-07-03-09h38m29s-Pers.Ctrl.SUR.2015.6.28.13.14.MOV-.avi;entry108_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl4;Y;301;;Pers.Ctrl.SUR.2015.6.28.13.14
109;vlc-record-2016-07-03-09h46m08s-Pers.Ctrl.SUR.2015.6.28.13.14.MOV-.avi;entry109_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl4;UNTAG*;-40;;Pers.Ctrl.SUR.2015.6.28.13.14
110;vlc-record-2016-07-03-09h47m20s-Pers.Ctrl.SUR.2015.6.28.13.14.MOV-.avi;entry110_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl4;B;357;;Pers.Ctrl.SUR.2015.6.28.13.14
111;vlc-record-2016-07-03-09h50m32s-Pers.Ctrl.SUR.2015.6.28.13.43.MOV-.avi;entry111_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl4;G;292;;Pers.Ctrl.SUR.2015.6.28.13.43
