t;x;y;frame;Feeder;Cooments
6,506506507E0;2,545394655E1;4,795028309E0;1,950000000E2;OUT;
6,539873207E0;2,545394655E1;4,479082101E0;1,960000000E2;OUT;
6,573239907E0;2,536367621E1;4,298541411E0;1,970000000E2;OUT;
6,606606607E0;2,536367621E1;4,298541411E0;1,980000000E2;OUT;
6,639973307E0;2,536367621E1;4,208271066E0;1,990000000E2;OUT;
6,673340007E0;2,536367621E1;4,208271066E0;2,000000000E2;OUT;
6,706706707E0;2,536367621E1;4,208271066E0;2,010000000E2;OUT;
6,740073407E0;2,536367621E1;4,208271066E0;2,020000000E2;OUT;
6,773440107E0;2,536367621E1;4,208271066E0;2,030000000E2;OUT;
6,806806807E0;2,536367621E1;4,208271066E0;2,040000000E2;OUT;
6,840173507E0;2,536367621E1;4,027730376E0;2,050000000E2;OUT;
6,873540207E0;2,536367621E1;4,027730376E0;2,060000000E2;OUT;
6,906906907E0;2,536367621E1;4,027730376E0;2,070000000E2;OUT;
6,940273607E0;2,536367621E1;4,027730376E0;2,080000000E2;OUT;
6,973640307E0;2,536367621E1;4,027730376E0;2,090000000E2;OUT;
7,007007007E0;2,536367621E1;4,027730376E0;2,100000000E2;OUT;
7,040373707E0;2,536367621E1;4,027730376E0;2,110000000E2;OUT;
7,073740407E0;2,536367621E1;4,027730376E0;2,120000000E2;OUT;
7,107107107E0;2,536367621E1;4,027730376E0;2,130000000E2;OUT;
7,140473807E0;2,536367621E1;4,027730376E0;2,140000000E2;OUT;
7,173840507E0;2,536367621E1;4,027730376E0;2,150000000E2;OUT;
7,207207207E0;2,536367621E1;3,937460031E0;2,160000000E2;OUT;
7,240573907E0;2,536367621E1;3,937460031E0;2,170000000E2;OUT;
7,273940607E0;2,536367621E1;3,937460031E0;2,180000000E2;OUT;
7,307307307E0;2,536367621E1;3,937460031E0;2,190000000E2;OUT;
7,340674007E0;2,536367621E1;3,937460031E0;2,200000000E2;OUT;
7,374040707E0;2,536367621E1;3,937460031E0;2,210000000E2;OUT;
7,407407407E0;2,536367621E1;3,937460031E0;2,220000000E2;OUT;
7,440774107E0;2,536367621E1;3,937460031E0;2,230000000E2;OUT;
7,474140807E0;2,536367621E1;3,937460031E0;2,240000000E2;OUT;
7,507507508E0;2,536367621E1;3,937460031E0;2,250000000E2;OUT;
7,540874208E0;2,536367621E1;3,937460031E0;2,260000000E2;OUT;
7,574240908E0;2,536367621E1;3,937460031E0;2,270000000E2;OUT;
7,607607608E0;2,536367621E1;3,937460031E0;2,280000000E2;OUT;
7,640974308E0;2,536367621E1;3,937460031E0;2,290000000E2;OUT;
7,674341008E0;2,536367621E1;3,937460031E0;2,300000000E2;OUT;
7,707707708E0;2,536367621E1;3,937460031E0;2,310000000E2;OUT;
7,741074408E0;2,613097414E1;4,208271066E0;2,320000000E2;OUT;
7,774441108E0;2,667259621E1;4,659622792E0;2,330000000E2;OUT;
7,807807808E0;2,712394794E1;5,020704172E0;2,340000000E2;OUT;
7,841174508E0;2,713893945E1;5,308190029E0;2,350000000E2;OUT;
7,874541208E0;2,713893945E1;5,308190029E0;2,360000000E2;OUT;
