t;x;y;frame;Feeder;Commets
4,104104104E0;-9,300152627E0;2,489599535E0;1,230000000E2;OUT;
4,137470804E0;-8,575070863E0;2,889134385E0;1,240000000E2;OUT;
4,170837504E0;-8,486285341E0;2,963122320E0;1,250000000E2;OUT;
4,204204204E0;-8,367904644E0;3,214681300E0;1,260000000E2;OUT;
4,237570904E0;-8,367904644E0;3,244276474E0;1,270000000E2;OUT;
4,270937604E0;-8,367904644E0;3,244276474E0;1,280000000E2;OUT;
4,304304304E0;-8,367904644E0;3,244276474E0;1,290000000E2;OUT;
4,337671004E0;-8,367904644E0;3,273871648E0;1,300000000E2;OUT;
4,371037704E0;-8,353107057E0;3,259074061E0;1,310000000E2;OUT;
4,404404404E0;-8,353107057E0;3,229478887E0;1,320000000E2;OUT;
4,437771104E0;-8,427094992E0;3,096300603E0;1,330000000E2;OUT;
4,471137804E0;-8,545475689E0;2,933527146E0;1,340000000E2;OUT;
4,504504505E0;-8,604666037E0;2,829944037E0;1,350000000E2;OUT;
4,537871205E0;-8,486285341E0;2,829944037E0;1,360000000E2;OUT;
4,571237905E0;-8,515880515E0;2,770753688E0;1,370000000E2;OUT;
4,604604605E0;-8,619463624E0;2,548789883E0;1,380000000E2;OUT;
4,637971305E0;-8,338309470E0;2,267635729E0;1,390000000E2;OUT;
4,671338005E0;-8,293916709E0;2,193647794E0;1,400000000E2;OUT;
4,704704705E0;-8,175536013E0;2,134457446E0;1,410000000E2;OUT;
4,738071405E0;-8,441892579E0;2,001279163E0;1,420000000E2;OUT;
4,771438105E0;-8,412297405E0;1,483363617E0;1,430000000E2;OUT;
4,804804805E0;-8,397499818E0;1,690529835E0;1,440000000E2;OUT;
4,838171505E0;-8,589868450E0;1,675732248E0;1,450000000E2;OUT;
4,871538205E0;-8,723046733E0;1,660934661E0;1,460000000E2;OUT;
4,904904905E0;-8,723046733E0;1,660934661E0;1,470000000E2;A;
4,938271605E0;-9,122581583E0;1,557351552E0;1,480000000E2;A;
4,971638305E0;-9,418533324E0;1,646137074E0;1,490000000E2;A;
5,005005005E0;-9,388938150E0;1,601744313E0;1,500000000E2;A;
5,038371705E0;-9,714485064E0;1,601744313E0;1,510000000E2;A;
5,071738405E0;-1,017321026E1;1,631339487E0;1,520000000E2;A;
5,105105105E0;-1,060234029E1;1,660934661E0;1,530000000E2;A;
5,138471805E0;-1,089829203E1;1,749720183E0;1,540000000E2;A;
5,171838505E0;-1,106106548E1;1,690529835E0;1,550000000E2;A;
5,205205205E0;-1,114985101E1;1,586946726E0;1,560000000E2;A;
5,238571905E0;-1,114985101E1;1,542553965E0;1,570000000E2;A;
5,271938605E0;-1,110545825E1;1,512958791E0;1,580000000E2;A;
5,305305305E0;-1,095748238E1;1,498161204E0;1,590000000E2;A;
5,338672005E0;-1,080950650E1;1,453768442E0;1,600000000E2;A;
5,372038705E0;-1,079470892E1;1,453768442E0;1,610000000E2;A;
5,405405405E0;-1,072072098E1;1,438970855E0;1,620000000E2;A;
5,438772105E0;-1,092788720E1;1,261399811E0;1,630000000E2;A;
5,472138805E0;-1,100187514E1;1,128221528E0;1,640000000E2;A;
5,505505506E0;-1,098707755E1;1,009840831E0;1,650000000E2;A;
5,538872206E0;-1,092788720E1;1,069031180E0;1,660000000E2;A;
5,572238906E0;-1,085389927E1;1,246602224E0;1,670000000E2;A;
5,605605606E0;-1,085389927E1;1,350185333E0;1,680000000E2;A;
5,638972306E0;-1,085389927E1;1,438970855E0;1,690000000E2;A;
5,672339006E0;-1,080950650E1;1,350185333E0;1,700000000E2;A;
5,705705706E0;-1,107586307E1;1,217007050E0;1,710000000E2;A;
5,739072406E0;-1,138661240E1;2,995566538E-1;1,720000000E2;A;
5,772439106E0;-1,412416600E1;6,990915037E-1;1,730000000E2;A;
5,805805806E0;-1,575190057E1;9,210553093E-1;1,740000000E2;OUT;
5,839172506E0;-1,817870485E1;1,172614289E0;1,750000000E2;OUT;
5,872539206E0;-1,853384694E1;1,364982920E0;1,760000000E2;OUT;
5,905905906E0;-1,887419144E1;1,660934661E0;1,770000000E2;OUT;
5,939272606E0;-1,880020350E1;1,734922596E0;1,780000000E2;OUT;
5,972639306E0;-1,881500109E1;1,675732248E0;1,790000000E2;OUT;
6,006006006E0;-1,862263246E1;1,542553965E0;1,800000000E2;OUT;
6,039372706E0;-1,837107348E1;1,527756378E0;1,810000000E2;OUT;
6,072739406E0;-1,825269278E1;1,379780507E0;1,820000000E2;OUT;
6,106106106E0;-1,825269278E1;1,305792572E0;1,830000000E2;OUT;
6,139472806E0;-1,823789520E1;1,320590159E0;1,840000000E2;OUT;
6,172839506E0;-1,831188313E1;1,305792572E0;1,850000000E2;OUT;
6,206206206E0;-1,828228796E1;1,350185333E0;1,860000000E2;OUT;
6,239572906E0;-1,826749037E1;1,409375681E0;1,870000000E2;OUT;
6,272939606E0;-1,826749037E1;1,409375681E0;1,880000000E2;OUT;
6,306306306E0;-1,832668072E1;1,217007050E0;1,890000000E2;OUT;
6,339673006E0;-1,834147831E1;1,128221528E0;1,900000000E2;OUT;
6,373039706E0;-1,840066865E1;1,187411876E0;1,910000000E2;OUT;
6,406406406E0;-1,832668072E1;1,424173268E0;1,920000000E2;OUT;
6,439773106E0;-1,835627589E1;1,350185333E0;1,930000000E2;OUT;
6,473139806E0;-1,835627589E1;1,350185333E0;1,940000000E2;OUT;
6,506506507E0;-1,841546624E1;1,364982920E0;1,950000000E2;OUT;
6,539873207E0;-1,841546624E1;1,364982920E0;1,960000000E2;OUT;
6,573239907E0;-1,841546624E1;1,379780507E0;1,970000000E2;OUT;
6,606606607E0;-1,844506141E1;1,453768442E0;1,980000000E2;OUT;
6,639973307E0;-1,850425176E1;1,438970855E0;1,990000000E2;OUT;
6,673340007E0;-1,850425176E1;1,424173268E0;2,000000000E2;OUT;
6,706706707E0;-1,848945418E1;1,379780507E0;2,010000000E2;OUT;
6,740073407E0;-1,840066865E1;1,320590159E0;2,020000000E2;OUT;
6,773440107E0;-1,837107348E1;1,364982920E0;2,030000000E2;OUT;
6,806806807E0;-1,837107348E1;1,350185333E0;2,040000000E2;OUT;
6,840173507E0;-1,835627589E1;1,350185333E0;2,050000000E2;OUT;
6,873540207E0;-1,644738716E1;1,527756378E0;2,060000000E2;OUT;
6,906906907E0;-1,452370085E1;1,690529835E0;2,070000000E2;OUT;
6,940273607E0;-1,302914456E1;1,720125009E0;2,080000000E2;OUT;
6,973640307E0;-1,157898103E1;1,794112944E0;2,090000000E2;OUT;
7,007007007E0;-1,131262446E1;2,075267098E0;2,100000000E2;OUT;
7,040373707E0;-1,112025583E1;1,956886402E0;2,110000000E2;OUT;
7,073740407E0;-1,104626790E1;1,912493641E0;2,120000000E2;OUT;
7,107107107E0;-1,094268479E1;1,986481576E0;2,130000000E2;OUT;
7,140473807E0;-1,091308961E1;1,557351552E0;2,140000000E2;OUT;
7,173840507E0;-1,091308961E1;1,453768442E0;2,150000000E2;A;
7,207207207E0;-1,088349444E1;1,350185333E0;2,160000000E2;A;
7,240573907E0;-1,076511374E1;1,350185333E0;2,170000000E2;A;
7,273940607E0;-1,086869685E1;1,335387746E0;2,180000000E2;A;
7,307307307E0;-1,086869685E1;1,335387746E0;2,190000000E2;A;
7,340674007E0;-1,094268479E1;1,409375681E0;2,200000000E2;A;
7,374040707E0;-1,097227996E1;1,468566030E0;2,210000000E2;A;
7,407407407E0;-1,100187514E1;1,409375681E0;2,220000000E2;A;
7,440774107E0;-1,088349444E1;1,335387746E0;2,230000000E2;A;
7,474140807E0;-1,085389927E1;1,379780507E0;2,240000000E2;A;
7,507507508E0;-1,080950650E1;1,379780507E0;2,250000000E2;A;
7,540874208E0;-1,082430409E1;1,364982920E0;2,260000000E2;A;
7,574240908E0;-1,082430409E1;1,364982920E0;2,270000000E2;A;
7,607607608E0;-1,082430409E1;1,364982920E0;2,280000000E2;A;
7,640974308E0;-1,082430409E1;1,364982920E0;2,290000000E2;A;
7,674341008E0;-1,079470892E1;1,364982920E0;2,300000000E2;A;
7,707707708E0;-1,083910168E1;1,394578094E0;2,310000000E2;A;
7,741074408E0;-1,085389927E1;1,394578094E0;2,320000000E2;A;
7,774441108E0;-1,082430409E1;1,424173268E0;2,330000000E2;A;
7,807807808E0;-1,060234029E1;1,453768442E0;2,340000000E2;A;
7,841174508E0;-1,066153063E1;1,453768442E0;2,350000000E2;A;
7,874541208E0;-1,067632822E1;1,453768442E0;2,360000000E2;A;
7,907907908E0;-1,067632822E1;1,364982920E0;2,370000000E2;A;
7,941274608E0;-1,066153063E1;1,350185333E0;2,380000000E2;A;
7,974641308E0;-1,035078131E1;1,779315357E0;2,390000000E2;A;
8,008008008E0;-1,015841268E1;2,001279163E0;2,400000000E2;A;
8,041374708E0;-9,699687477E0;1,897696053E0;2,410000000E2;A;
8,074741408E0;-9,596104368E0;1,853303292E0;2,420000000E2;A;
8,108108108E0;-9,403735737E0;1,616541900E0;2,430000000E2;A;
8,141474808E0;-9,137379170E0;1,512958791E0;2,440000000E2;A;
8,174841508E0;-9,122581583E0;1,498161204E0;2,450000000E2;A;
8,208208208E0;-9,048593648E0;1,438970855E0;2,460000000E2;A;
8,241574908E0;-9,107783996E0;1,438970855E0;2,470000000E2;A;
8,274941608E0;-9,122581583E0;1,438970855E0;2,480000000E2;A;
8,308308308E0;-9,196569518E0;1,409375681E0;2,490000000E2;A;
8,341675008E0;-9,285355040E0;1,498161204E0;2,500000000E2;A;
8,375041708E0;-9,226164692E0;1,424173268E0;2,510000000E2;A;
8,408408408E0;-9,226164692E0;1,290994985E0;2,520000000E2;A;
8,441775108E0;-9,314950214E0;1,350185333E0;2,530000000E2;A;
8,475141808E0;-9,285355040E0;1,320590159E0;2,540000000E2;A;
8,508508509E0;-9,152176757E0;1,424173268E0;2,550000000E2;A;
8,541875209E0;-9,152176757E0;1,453768442E0;2,560000000E2;A;
8,575241909E0;-9,300152627E0;1,350185333E0;2,570000000E2;A;
8,608608609E0;-9,255759866E0;1,335387746E0;2,580000000E2;A;
8,641975309E0;-9,374140563E0;1,305792572E0;2,590000000E2;A;
