FileID;ColorCode;BirdID;Territoriality;Comments
vlc-record-2015-06-29-16h39m30s-CogExp.SUR.2015.6.16.7.58.MOV-;WGR;364;Floater;
vlc-record-2015-06-29-16h41m52s-CogExp.SUR.2015.6.16.8.28.MOV-;B;357;Territorial;
vlc-record-2015-06-29-16h44m01s-CogExp.SUR.2015.6.16.8.28.MOV-;Y;301;Territorial;
vlc-record-2015-06-29-16h45m21s-CogExp.SUR.2015.6.16.8.28.MOV-;B;357;Territorial;
vlc-record-2015-06-29-16h46m48s-CogExp.SUR.2015.6.16.8.28.MOV-;G;292;Territorial;
vlc-record-2015-06-29-16h47m47s-CogExp.SUR.2015.6.16.8.28.MOV-;R;356;Territorial;
vlc-record-2015-06-29-16h50m28s-CogExp.SUR.2015.6.16.8.59.MOV-;Y;301;Territorial;
vlc-record-2015-06-29-16h51m36s-CogExp.SUR.2015.6.16.8.59.MOV-;WGR;364;Floater;
vlc-record-2015-06-29-16h52m44s-CogExp.SUR.2015.6.16.9.29.MOV-;R;356;Territorial;
vlc-record-2015-06-29-16h53m36s-CogExp.SUR.2015.6.16.9.29.MOV-;G;292;Territorial;
vlc-record-2015-06-29-16h54m57s-CogExp.SUR.2015.6.16.9.29.MOV-;B;357;Territorial;
vlc-record-2015-06-29-16h56m12s-CogExp.SUR.2015.6.17.7.07.MOV-;R;356;Territorial;some interaction with wasp? Could be neglected?
vlc-record-2015-06-29-16h57m24s-CogExp.SUR.2015.6.17.7.07.MOV-;P;353;Territorial;some interaction with wasp? Could be neglected?
vlc-record-2015-06-29-17h02m33s-CogExp.SUR.2015.6.17.7.37.MOV-;Y;301;Territorial;
vlc-record-2015-06-29-17h03m51s-CogExp.SUR.2015.6.17.7.37.MOV-;B;357;Territorial;
vlc-record-2015-06-29-17h05m27s-CogExp.SUR.2015.6.17.7.37.MOV-;WGR;364;Floater;
vlc-record-2015-06-29-17h06m54s-CogExp.SUR.2015.6.17.8.05.MOV-;G;292;Territorial;
vlc-record-2015-06-29-17h18m09s-CogExp.SUR.2015.6.17.8.35.MOV-;R;356;Territorial;
vlc-record-2015-06-29-17h22m20s-CogExp.SUR.2015.6.17.8.35.MOV-;B;357;Territorial;
